Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02;;;;n
0,359188544;0,359188544;0;0,00913242;0,01435778;0,197894737;;;;4
0,531453362;0,164206871;0;0,001222046;0,002133523;0,078431373;;;;10
0,236834532;0,236834532;0;8,60E-04;0,003003003;0,005985552;;;;15
0,430053964;0,135556622;0;2,76E-04;0,001940994;0,001940994;;;;20
0,403846154;0,131809115;0;2,27E-04;0,00723589;0,00723589;;;;22
0,152880239;0,152880239;0;2,29E-04;2,97E-04;0,004129387;;;;25
0,164760695;0,12687813;0;1,46E-04;5,31E-04;0,003119152;;;;27
0,121016236;0,121016236;0;1,80E-04;2,19E-04;0,008142117;;;;30
0,109727816;0,109727816;0;1,25E-04;4,23E-04;5,65E-04;;;;32
0,099643795;0,099643795;0;1,05E-04;1,29E-04;5,64E-04;;;;35
0,122473974;0,111246053;0;1,38E-04;3,06E-04;4,07E-04;;;;37
0,108809892;0,108809892;0;1,03E-04;2,23E-04;9,08E-04;;;;40
