Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02;;;;n
0,490298291;0,430880975;0;0,0075;0,017081851;0,04028436;;;;4
0,249584027;0,249584027;0;0,001230944;0,004709396;0,011128328;;;;10
0,154857756;0,154857756;0;0,001279203;0,001826787;0,004441624;;;;15
0,111739275;0,111739275;0;6,36E-04;0,001214715;0,002303219;;;;20
0,102322765;0,102322765;0;7,01E-04;0,001157407;0,002255598;;;;22
0,095887515;0,095887515;0;3,68E-04;8,50E-04;0,00194941;;;;25
0,082691299;0,082691299;0;3,67E-04;7,17E-04;0,001705514;;;;27
0,073200574;0,073200574;0;2,47E-04;5,82E-04;0,001435364;;;;30
0,070934397;0,070934397;0;2,84E-04;5,45E-04;0,001058416;;;;32
0,069774281;0,069774281;0;2,53E-04;3,87E-04;9,95E-04;;;;35
0,055968409;0,055968409;0;1,76E-04;4,10E-04;6,85E-04;;;;37
0,054978342;0,054978342;0;2,03E-04;3,58E-04;6,99E-04;;;;40
