Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02;;;;n
0,994219653;0;0;0,011803114;0,033204319;0,045822102;;;;4
0,980896786;0,09302942;0;0,013628967;0,016219947;0,051179062;;;;10
0,911900192;0,075154321;0;0,002777778;0,009777377;0,036216873;;;;15
0,870701849;0,104549855;0;0;0,009248178;0,017655172;;;;20
0,986863374;0,088309379;0;0,003271862;0,003271862;0,004668838;;;;22
0,882411518;0,108313539;0;8,63E-05;8,63E-05;0,017144857;;;;25
0,869566618;0,077643298;0;0;0;0;;;;27
0,682059605;0,085900217;0;0;0;0,005610098;;;;30
0,916666667;0,057581574;0;0;0;0,001318295;;;;32
0,839994101;0;0;0;0;0,006166179;;;;35
0,909056725;0,084116541;0;0;0;0,004174881;;;;37
0,887376382;0,1029431;0;0;0;0;;;;40
